Training Levels:,Resources/level/trainlevels/lvl-1,,
Gen Num , Highest Fitness, Average Fitness, Population Size: 120
924,70.454445,12.811978,0
925,70.454445,14.320207,0
926,70.454445,13.084346,0
927,70.454445,18.065788,0
928,70.454445,16.588758,0
929,70.454445,13.324163,0
930,70.454445,14.679811,0
931,70.454445,13.331709,0
932,70.454445,12.018725,0
933,70.454445,14.59768,0
934,70.454445,13.29813,0
935,70.454445,15.622666,0
936,70.454445,12.973804,0
937,70.454445,11.99358,0
938,70.454445,11.114269,0
939,70.454445,13.908979,0
940,70.454445,9.140669,0
941,70.454445,14.115961,0
942,70.454445,11.011662,0
943,70.454445,13.005425,0
944,70.454445,11.592222,0
945,70.454445,13.894623,0
946,70.454445,12.203307,0
947,70.454445,13.508763,0
948,70.454445,13.363022,0
949,70.454445,17.251751,0
950,70.454445,13.117232,0
951,70.454445,20.016026,0
952,70.454445,13.136099,0
953,70.454445,12.678061,0
954,70.454445,15.065052,0
955,70.454445,11.663404,0
956,70.454445,12.479676,0
957,70.454445,11.915026,0
958,70.454445,13.259702,0
959,70.454445,13.429667,0
960,70.454445,9.750922,0
961,70.454445,9.860859,0
962,70.454445,10.395698,0
963,70.454445,12.590621,0
964,70.454445,13.384765,0
965,70.454445,13.730538,0
966,70.454445,16.182756,0
967,70.454445,15.659282,0
968,70.454445,14.740479,0
969,70.454445,12.081982,0
970,70.454445,14.244943,0
971,70.454445,14.093054,0
972,70.454445,13.368174,0
973,70.454445,13.050439,0
974,70.454445,12.800443,0
975,70.454445,16.561045,0
