Training Levels:,Resources/level/trainlevels/lvl-4,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
601 , 88.636078 , 29.071718 , 0
602 , 88.636078 , 32.905746 , 0
603 , 88.636078 , 31.707293 , 0
604 , 88.636078 , 29.070625 , 0
605 , 88.636078 , 30.195379 , 0
606 , 88.636078 , 28.370447 , 0
607 , 88.636078 , 28.309404 , 0
608 , 88.636078 , 31.910620 , 0
609 , 88.636078 , 31.043369 , 0
610 , 88.636078 , 24.494919 , 0
611 , 88.636078 , 28.616436 , 0
612 , 88.636078 , 32.012592 , 0
613 , 88.636078 , 32.589363 , 0
614 , 88.636078 , 29.881641 , 0
615 , 88.636078 , 30.065725 , 0
616 , 88.636078 , 28.947926 , 0
617 , 88.636078 , 28.953802 , 0
618 , 88.636078 , 25.931049 , 0
619 , 88.636078 , 23.197243 , 0
620 , 88.636078 , 25.101517 , 0
621 , 88.636078 , 22.499060 , 0
622 , 88.636078 , 25.863153 , 0
623 , 88.636078 , 18.698265 , 0
624 , 88.636078 , 21.374901 , 0
625 , 88.636078 , 26.679462 , 0
626 , 88.636078 , 28.718550 , 0
627 , 88.636078 , 28.104015 , 0
628 , 88.636078 , 22.142403 , 0
629 , 88.636078 , 28.219685 , 0
630 , 88.636078 , 27.325800 , 0
631 , 88.636078 , 21.736073 , 0
